#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
8824,TYPO3.Fluid,Task,"",Resolved,Must have,Create an abstract base class for Condition ViewHelpers to remove Code Duplication,Sebastian Kurfuerst,Sebastian Kurfuerst,2010-10-20 05:44,"","",2010-07-12,"","",100,2010-07-12 14:09,"","",45600,"","","","In FLOW3, we already have quite some condition ViewHelpers (f:if, f:security.if*). It turns out they all use a private API inside the framework, as they directly implement the ChildNodeAccessInterface, which is no public API.

h3. Proposed solution
Create a new base class \F3\Fluid\Core\ViewHelper\ConditionViewHelper which should be used as a basis of condition-based ViewHelpers.

h3. Breaking change

*This is a breaking change for people who copied the ""if""-ViewHelper and did their own condition evaluation, as the internal workings of the ""if""-ViewHelper changed.*

h3. How to upgrade

Have a look at the new IfViewHelper, and see that it is now far easier to get up and running."
8834,TYPO3.Fluid,Task,"",Resolved,Should have,Add fallback for use of TagBasedViewHelper,Karsten Dambekalns,Bastian Waidelich,2010-10-20 05:44,Core,"",2010-07-13,"","",100,2010-07-13 04:00,"","",45750,"","","","As discussed there should be a TagBasedViewHelper that is marked deprecated, logs that fact and extends from AbstractTagBasedViewHelper."
8852,TYPO3.Fluid,Feature,"",Resolved,Should have,Add method overrideArgument() to AbstractViewHelper,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,Core,"",2010-07-14,"","",100,2010-07-14 03:53,"","",2595850,"","","","When registering an argument twice, you'll get an exception
<pre>
#1253036401: Argument ""xyz"" has already been defined, thus it should not be defined again.
</pre>
That's intended, but we need the possibility to override argument registrations (e.g. for the form.checkbox vh that sets the ""value"" argument required)"
8854,TYPO3.Fluid,Bug,Task #26658: Make Form ViewHelpers consistent,Resolved,Must have,form.checkbox ViewHelper throws Exception in newAction,Bastian Waidelich,Bastian Waidelich,2012-01-20 06:22,ViewHelpers,1.1,2010-07-14,"","",100,2010-07-14 03:57,"","",2595800,"",No,Git master,"When using the form.checkbox ViewHelper in ObjectAccessorMode (bound to a property of the form object) this leads to an error when the form object is NULL (e.g. in the newAction) because the type of the property (array / boolean) can't be determined.
To avoid this issue, we need a new argument ""multiple"" that will make sure, that ""[]"" are appended to the checkbox field name."
8879,TYPO3.Fluid,Bug,"",Closed,Should have,{ } when using as JavaScript,Adrian Föder,"",2013-12-04 07:01,"","",2010-07-15,"","",0,2010-07-15 07:43,"","",2595750,"",No,(any),"assuming the following FLUID code:

<pre>
<f:if condition=""foo"">
  <script type=""text/javascript"">
    var myDemoJSObject = {
      key1: 'foo',
      key2: 'bar
    }
  </script>
</f:if>
</pre>


this is outputted as

<script type=""text/javascript"">
var myDemoJSObject = Array
</script>


I think the brackets are regarded as inline view helpers and tried to be parsed. Wouldn't it be senseful to require inline view helpers may NOT have a whitespace after the opening bracket, so it should be (regex) /{\w/ and NOT /{./ or something like that."
8880,TYPO3.Fluid,Bug,"",Resolved,Should have,Be.ContainerViewHelper renders page header too early,Andreas Wolf,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-07-15,"","",100,2010-07-15 07:57,"","",2595700,"","","","It is currently impossible to add something to the pageRenderer object in a child view helper of a Be.ContainerViewHelper. This is due to the children being rendered after the header has been rendered.

This bug makes it impossible to e.g. add new JS files inside child view helpers, for example inside a backported includeJavaScript view helper.

Solution: Just reverse the order in which the header and the children are rendered."
8893,TYPO3.Fluid,Bug,"",Resolved,Must have,Negative numeric values are not correctly converted to FALSE,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,Core,"",2010-07-15,"","",100,2010-07-15 13:08,"","",2595650,"","","","<pre>
<f:if condition=""-1"">this should not be rendered</f:if>
</pre>
actually renders the content, cause ViewHelperNode::convertToBoolean() does not correclty determine the type as /numeric/.

Solution: move the is_numeric() check *above* the is_string() check."
8939,TYPO3.Fluid,Bug,"",Rejected,Should have,format.date does not handle TYPO3/UNIX timestamps,Xavier Perseguers,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-07-19,"","",0,2010-07-19 09:34,"","",2595600,"","","","Hi,

I just upgraded an Extbase extensions I developed for TYPO3 4.3 and came across a bug in the format.date ViewHelper. My dates are not displayed anymore as the conversion from unix timestamp to DateTime object is invalid (constructor expects a string representation, not a timestamp).

Enclosed is a patch that solves this issue."
8989,TYPO3.Fluid,Feature,"",Needs Feedback,Could have,Search path for fluid template files,Christian Winther,"",2012-03-12 13:10,View,"",2010-07-22,"","",0,2010-07-22 04:26,"","",2595550,"",No,"","I'm currently working on a project where multiple extensions need to share some generic views, as well as be able to overwrite them locally.

I have made a patch for fluid that should not break in BC, but add the option for the TemplateView class to scan multiple extensions for view files.

Simply put I have added an ""addExtensionSearchPath"" method to TemplateView that appends extensions to a flat array (if it haven't already been added)

I have also changed so the following methods has a new optional argument called ""extension"" to overwrite the normal behavior of just calling ""getControllerExtensionKey""

* getTemplateRootPath()
* getPartialRootPath()
* getLayoutRootPath()

The protected function expandGenericPathPattern has been updated to iterate the new extensionSearchPaths class property and build search paths like before for each extension.

With the path applied you simple have to do the following in your controller to add a new search path

 $this->view->addExtensionSearchPath($_YOUR_EXT_KEY);

The search paths is processed First In First Out (FIFO) style, so your current extension always takes precedence over any additional searchable extensions added later in the request cycle.

This patch greatly improves the flexibility of the fluid rendering system, and helps keeping things DRY in your apps.

I have attached my patch to this ticket"
8992,TYPO3.Fluid,Feature,"",Resolved,Should have,Forwardport count ViewHelper,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-07-22,"","",100,2010-07-22 09:58,"","",2595500,"","","",v5 is currently missing the count ViewHelper that we have in v4.
9005,TYPO3.Fluid,Feature,"",Accepted,Could have,Fluid Template Analyzer (FTA),Bastian Waidelich,Sebastian Kurfuerst,2011-05-06 05:03,"","",2010-07-23,"","",20,2010-07-23 04:55,"","",2595450,"","","","We want to implement a wizard like tool, that allows developers to analyze and test their Fluid templates. Following features should be incorporated:

# Display the (highlighted) source code of a Fluid template
## All nodes should be wrapped with <span> tags and meaningful CSS classes
## Partials & Layouts could be linked, so that you only have to click the partial name in order to load the respective partial into FTA
## ViewHelper nodes could be linked with the source code of the corresponding ViewHelper
## Meta information of the node could be added to the span's title attribute (e.g. PHP doc comments of the ViewHelper's render method)
# Display the (highlighted) rendered Fluid template
## All rendered nodes should be wrapped with <span> tags and meaningful CSS classes
## Meta information of the node could be added to the span's title attribute (e.g. source code of this node, parameters of the respective ViewHelper)"
9037,TYPO3.Fluid,Feature,"",Rejected,Won't have this time,new comparator for CheckboxViewhelper,Thomas Mammitzsch,"",2010-10-20 05:44,ViewHelpers,"",2010-07-26,"","",0,2010-07-26 10:54,"","",2595400,"","","","i have a suggestion for a new ""in_array"" comparator in ViewHelperNode. Reason is that i'm creating forms in the frontend, where form definition happens in the backend. Everything works fine, even if i get validation errors, the form shows up prefilled.

The only exception is the CheckboxViewHelper. Because this is an array of values (at least if you have multiple checkboxes with the same name and different values) you can not compare it against a single value currently.
It would be nice if one can check if a value is in that array, to check the checkbox in case of validation errors, a return from a last-check-before-submit page (or generally when the form of the newAction has to be displayed again). I added one case to the evaluateComparator method in ViewHelperNode to do that and it works:

case 'in_array':
    return in_array($leftSide, $rightSide);

of course i also added 'in_array' also to the comparators static array in ViewHelperNode.
Could we add this permanently, what do you mean? "
9090,TYPO3.Fluid,Bug,"",Resolved,Must have,Chaining of ->assign() does not work anymore,Michael Feinbier,Bastian Waidelich,2010-10-20 05:44,View,"",2010-07-30,"","",100,2010-07-30 06:07,"","",2595350,"","","","Since the latest release of Fluid the chaining of the ->assign() method does not work anymore
<pre>
$this->view
  ->assign('request', $request)
  ->assign('languages', $this->languageRepository->findActive());
</pre>

Throws error @Fatal error: Call to a member function assign() on a non-object@"
9114,TYPO3.Fluid,Bug,"",Resolved,Must have,"TemplateView - still using $viewData instead of $variables - error ""Context has to be initialized with an array, NULL given.""",Stefan Neufeind,"",2010-10-20 05:44,View,"",2010-08-02,"","",0,2010-08-02 04:55,"","",2595300,"","","","Error-message is: Context has to be initialized with an array, NULL given.

This is a follow-up to the resolved bug #7053 (filed against extbase). They share in common that initialisation was not done, but the root-cause is different!

With TYPO3 v4.3.3 in sysext/extbase/Classes/MVC/View/AbstractView.php there was an initialisation of viewData to array(). With TYPO3 v4.3.4 this was renamed from viewData to variables (inside AbstractView).

However TemplateView distributed with TYPO3 v4.3.4 still relies on viewData.

Fix: Renaming this to variables makes it work again.


        protected function buildRenderingContext($variableContainer = NULL) {
                if ($variableContainer === NULL) {
                        $variableContainer = $this->objectFactory->create('Tx_Fluid_Core_ViewHelper_TemplateVariableContainer', $this->variables);"
9135,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,Rejected,Won't have this time,FormViewHelper cannot get the value of DateTime,Michael Feinbier,Bastian Waidelich,2011-06-28 06:23,ViewHelpers,1.0.0,2010-08-04,"","",0,2010-08-04 11:14,"","",47600,"",No,"","Hey,

not quite shure if i did something wrong but I think I found a misbehaviour in the @AbstractFormViewHelper@. It seems that @DateTime@-Fields are not read correctly.

My model has a property:
<pre>/**
 * Produktdatum
 * @var DateTime
 * @validate NotEmpty
 */
protected $product_date;</pre>

Now if I try to read the value of the field in a form like this:
<pre><f:form.hidden property=""warranty_date"" id=""hidden_warranty_date"" /></pre>
the *value* of the hidden form is *empty*.
The property itself is stored correctly because:
<pre>{f:format.date(date: '{newArticle.warranty_date}', format: 'd-m-Y')}</pre> written just next to the hidden form gives me the correct date.

So I think the @$this->getValue()@ in the @AbstractFormViewHelper@ is not able to determine the value of the DateTime object? Maybe it should echo the Unix-Timestamp? (@12353534)"
9143,TYPO3.Fluid,Feature,"",Resolved,Should have,Backport f:security.ifAuthenticated and f:security.ifHasRole ViewHelpers,Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-08-05,"","",0,2010-08-05 04:42,"","",2595250,"","","","f:security.ifAuthenticated and f:security.ifHasRole ViewHelpers should be available in v4 too.

Note: The $role attribute of the ifHasRole ViewHelper could be the fe_group:
<pre>
<f:security.ifHasRole role=""{settings.editorUserGroup}"">
  <f:link action=""edit"" />
</f:security.ifHasRole>
</pre>"
9210,TYPO3.Fluid,Bug,"",Rejected,Won't have this time,imageViewHelper should not throw exception,Felix Oertel,"",2011-12-14 02:52,ViewHelpers,"",2011-10-15,2011-10-15,"",0,2010-08-09 06:37,"","",2595150,"","","","Hey guys,

i don't like the imageViewHelper to throw exceptions if an image is not found. it should behave like the underlying cObj::getImgResource() and just don't do anything.

regards, foertel"
9211,TYPO3.Fluid,Feature,"",Rejected,Should have,Improve ViewHelper exception handling,Bastian Waidelich,"",2011-05-06 04:32,Core,"",2010-08-09,"","",0,2010-08-09 07:17,"","",2595100,"","","","Currently, if a ViewHelper throws an exception, we catch that in the corresponding ViewHelperNode and simply output the exception message.
Instead, we should handle the exception depending on the current ""context"".

E.g. if in production mode, the exception should be silently ignored (and maybe logged instead). In development context, the message should be outputtet but probably with some more informations about the current template etc.

Question: in FLOW3/TYPO3 v5 we already have the notion of contexts. In v4 we don't have that yet AFAIK. Instead we could use the ""devIPmask"" setting to switch to development context.. Any ideas?"
9214,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,Closed,Must have,"Improve handling of bound properties in checkbox, radio and select ViewHelpers",Bastian Waidelich,Bastian Waidelich,2012-05-08 12:09,ViewHelpers,"",2010-08-09,"","",0,2010-08-09 08:43,"","",48050,"",No,"","Currently the behavior for form.checkbox, form.radio & form.select ViewHelpers is not clear and leads to errors when bound to objects. See #8854 for example.

We'll have to define, what output is expected in which case to be able to properly refactor these ViewHelpers."
9244,TYPO3.Fluid,Feature,"",Resolved,Should have,Add support for subproperty and __toString() in GroupedForViewHelper,Xavier Perseguers,Jochen Rau,2012-01-29 12:06,ViewHelpers,"",2010-08-11,"","",100,2010-08-11 03:05,"","",2595050,"",Yes,"","Problem 1:

I have an array of objects and I want to group them by a property being a ValueObject. The VH should ensure __toString() is called on $currentGroupKey if it's an object.


Problem 2:

I have an array of objects and I want to group them by a property of a property. Let's say we have persons that are linked to a company, I want to group them by company.name:

<pre>
<f:groupedFor each=""{persons}"" as=""personsOfCompany"" groupBy=""company.name"" groupKey=""company"">

   ...

</f:groupedFor>
</pre>"
9429,TYPO3.Fluid,Feature,"",Closed,Should have,f:render section with arguments,Dieter Müller,Sebastian Kurfuerst,2011-05-06 04:32,View,"",2010-08-24,"","",0,2010-08-24 08:03,"","",2595000,"","","","Why only partials can use arguments ?

I want to transfer some arguments to a sections, but i dont want to make every small peace of code a partial file. I think thats a little to much for smaller projects / templates.

Use within section makes it possible to write small ""functions"" in one templatefile."
9434,TYPO3.Fluid,Bug,"",Resolved,Should have,f:if condition does not treat integers right,Thomas Hempel,Sebastian Kurfuerst,2010-10-20 05:44,ViewHelpers,"",2010-08-24,"","",100,2010-08-24 11:10,"","",2594950,"","","","if you compare a discrete value with a negativ number it will always return true.

Example:

In the controller:
<pre>
$this->view->assign('value', -1);
</pre>

In the Fluid template:
<pre>
{value}
<f:if condition=""{value} > -1"">
    <f:then>
        is greater than -1
    </f:then>
    <f:else>
        is smaller or even -1
    </f:else>
</f:if>
</pre>

The result is:
<pre>
-1 is greater than -1 
</pre>

Expected result:
<pre>
-1 is smaller or even -1
</pre>"
9444,TYPO3.Fluid,Bug,"",Closed,Should have,All Link_ActionViewHelper and Link_PageViewHelper should return no a-tag when linking to a hidden or non-existant page,Christian Zenker,Sebastian Kurfuerst,2010-10-20 05:44,"","",2010-08-25,"","",0,2010-08-25 03:42,"","",2594900,"","","","Right now, if the linked-to page is hidden, deleted or has never even existed an <a>-tag with empty href is returned (effectively linking to the current page or the homescreen if baseUrl is used). This behaviour is unexpected and not compliant with the typolink object - so I would consider this a bug.

Patch is appended."
9454,TYPO3.Fluid,Bug,"",Rejected,Won't have this time,If condition in viewhelper attribute,Daniel Lienert,Adrian Föder,2012-11-14 02:51,ViewHelpers,"",2010-08-25,"","",0,2010-08-25 08:18,"","",2594850,"",No,FLOW3 1.0.0,"It should be possible to set an attribute in a viewhelper by an if condition.

For example i want to set the attribute onchange conditional by an object property: 
<f:form.checkBox name=""name"" value=""value"" additionalAttributes=""{f:if (condition: '{object.submitOnChange}', then: '{onchange : \'submit()\'}')}"" /> 

Fluid throws the exception: #1237900529: The argument ""additionalAttributes"" was registered with type ""array"", but is of type ""string""."
9514,TYPO3.Fluid,Feature,"",New,Should have,Support explicit Array Arguments for ViewHelpers,Sebastian Kurfuerst,"",2011-05-06 05:03,"","",2010-08-30,"","",0,2010-08-30 13:01,"","",2594800,"","","","We have been brainstorming over some additions to fluid syntax.

* Imagine you have a ViewHelper with the following Render Method signature:
<code>function render(array $bla)</code>
* then it would be very nice if one could write the following:
<code><f:xy arr.someArrayKey=""foo"" /> // ""foo"" is not validated, as we do not have any more type information.</code>
* Additionally, one could override specific key/value pairs of array arguments:
<code><f:xy arr=""{myArray}"" arr.someArrayKey=""foo"" /> // ""foo"" is merged into {myArray}</code>

Additionally, one could register specific array keys, and validate them. Imagine the following argument registration:
<code>$this->registerArgument('foo.bar', 'boolean', REQUIRED=TRUE);</code>

* Now, it is validated that foo.bar is a boolean value, which exists; so you would know that $this->arguments['foo']['bar'] is really a boolean and it is set.

h2. What needs to be changed internally:

h3. On compile time: 

* TemplateParser->abortIfUnregisteredArgumentsExist($expectedViewHelperArguments, $argumentsObjectTree);
** if Argument name is ""bla.blubb"", check that either the argument ""bla.blubb"" or the argument ""bla"" has been explicitely registered (and ""bla"" is an array)
* TemplateParser->abortIfRequiredArgumentsAreMissing($expectedViewHelperArguments, $argumentsObjectTree);
** do not abort if ""bla.blubb"" is not registered, but ""bla"" is.

h3. On run-time: Type checking

* change validateArguments in AbstractVH
*# MERGING von ""arr.abcde"" und ""arr"" (Punkt-Syntax überschreibt)
*# VALIDIERUNG (von _allen_ regeln) -> d.h. wenn es eine Regel ""arr.abcde"" gibt, dann wird geschaut ob es diesen Array Key gibt

h2. Examples of possible usage

<f:widget.paginate objects=""{posts}"" configuration.position=""top"" configuration.itemsPerPage=""3"" configuration.linkCurrent=""false"" /> <==>
<f:widget.paginate  objects=""{posts}"" configuration=""{position: 'top', itemsPerPage: 3, linkCurrent: 'false'}"" />

h2. Shorthand Sxntax

Will work like the explicit syntax:
<code>{f:widget.paginate(objects: posts, configuration.position: 'top')}</code>

However, for Arrays, this is NOT ALLOWED:
{foo: {bar: '123'}} == {foo.bar: '123', foo: {bar: '123'}} <== this should be forbidden!

"
9515,TYPO3.Fluid,Bug,"",Resolved,Must have,"form ViewHelper does not render hidden identity field when using ""objectName"" argument",Bastian Waidelich,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-08-30,"","",100,2010-08-30 14:31,"","",2594750,"","","","With resolving #6521 you can use the ""objectName"" argument to specify the name of a bound object rather then using the ""name"" attribute.
But if you do so, the rendered hidden identity field is not correct anymore"
9627,TYPO3.Fluid,Bug,"",Resolved,Should have,Two test failures in Tx_Fluid_ViewHelpers_Persistence_IdentityViewHelperTest,Oliver Klee,"",2011-05-06 04:33,ViewHelpers,"",2010-09-07,"","",0,2010-09-07 06:41,"","",2594700,"","","","Tx_Fluid_ViewHelpers_Persistence_IdentityViewHelperTest

renderGetsIdentityForObjectFromPersistenceManager
! Error in test case renderGetsIdentityForObjectFromPersistenceManager
in file /home/klee/eclipse/typo3_src/typo3/sysext/extbase/Tests/BaseTestCase.php
on line 96:
Message:
Class Tx_Fluid_ViewHelpers_Persistence_IdentityViewHelper does not exist

renderOutputsEmptyStringForNullIdentity
! Error in test case renderOutputsEmptyStringForNullIdentity
in file /home/klee/eclipse/typo3_src/typo3/sysext/extbase/Tests/BaseTestCase.php
on line 96:
Message:
Class Tx_Fluid_ViewHelpers_Persistence_IdentityViewHelper does not exist

I'm using the Fluid version from the TYPO3 V4 Core trunk."
9768,TYPO3.Fluid,Feature,"",Closed,Should have,Idea: Connector to use fluid templates for ###MARKER### based extensions,Jonas Felix,"",2011-05-06 04:33,"","",2010-09-16,"","",0,2010-09-16 09:43,"","",2594650,"","","","Imagine:
1.) You install an oldschool extension as comments
2.) You insert the plugin and use the extension as you did it always
3.) You create your own template for the extension with fluid and not with the oldschool .html ###MARKER_BASED###
4.) The TYPO3 built in ###TEMPLATE-CLASS### recognizes the fluid template and instead of replacing markers it collects the marker and suppart data to assign it to the template:
- You get all supparts as an array containing the markers of that supparts as an array
- You get the markers as an array
- You can use them and list them within your fluid extensions
5.) You don't have to change a single line within the comments pi1 php code

How:
- makeitfluid extension xclasses the TYPO3 Template classes, checks if it is fluid or HTML and just uses the regular templating if it's HTML
- it just tries to collect the data and parse the template as fluid if it is fluid :-)
- the extension would need some very special index to remember which subparts and markers belong to which fluid template, and it will be quite difficult to asure that the extension gets the correct HTML code in every constellation
- the makeitfluid extension does everything in the background so no extension has to be changed at all, also fluid or the core don't need any changes :-P

Why:
- Fluid puts the need to change PHP aside in moste cases!
- If you have a fluid template you can perfectly customize and exten existing extensions without any modfication to it selfe.
- You could easily load the commerce module to show a product within an mm_forum post wihtout change the PHP code of one of those extensions!!!
- A lot of oldschool extensions are great, but their templating sucks....

This is of course not something to be put directly into the FLUID extension, but it's a connector extension and maybe you are interessted in such a solution..."
9805,TYPO3.Fluid,Bug,"",Rejected,Must have,"Code mismatch in ""FormViewHelper.php""?!",Gabriel Kaufmann,"",2011-05-06 03:59,ViewHelpers,"",2010-09-17,"","",0,2010-09-17 12:18,"","",2594600,"","","","Hello,

I just found this code, after trying to figure out the PHP-Error
<pre>
Fatal error: Call to a member function reset() on a non-object in /[..]/typo3_src-4.4.2/typo3/sysext/fluid/Classes/ViewHelpers/FormViewHelper.php on line 167
</pre> 

<pre>
Looking into that file there is the following code:
00165                            $uriBuilder = $this->controllerContext->getUriBuilder();
00166                            $formActionUri = $uriBuilder
00167                                     ->reset()
00168                                     ->setTargetPageUid($this->arguments['pageUid'])
00169                                     ->setTargetPageType($this->arguments['pageType'])
</pre>


Please note the missing variables in front of the class-functions ""->"" and the missing semicolon. I don't think this can be right - or I missed a change in the PHP-core allowing such things.

The problem appears after trying to use the ""<f:form>[..]<f:/form>"" tag in a fluid-template. Without using this tags, the template works just fine. So i think this is a bug.
"
9950,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,New,Should have,Binding to nested arrays impossible for form-elements,Christian Opitz,"",2011-10-19 19:48,ViewHelpers,"",2010-09-27,"","",0,2010-09-27 17:57,"","",51800,"","","","I want to bind my form to an array with variable nested arrays. I already extended form and set the formName to ---ignore--- to trigger the objectAccessor-Mode - works so far. Now all names are generated perfectly but there is a useless check in getPropertyValue() that makes it impossible to get a value of sth. like
<pre>
<fh:form object=""{gp}"" fieldNamePrefix=""gp"">
    <f:textfield property=""bla.blubb""/>
</form>
<!-- Which renders to: -->
<form...>
    <input type=""text"" name=""gp[bla][blub]""/>
</form>
</pre>

The value can not be detected because there is a check for array in ""AbstractFormFieldViewHelper"":http://forge.typo3.org/projects/package-fluid/repository/revisions/master/entry/Classes/ViewHelpers/Form/AbstractFormFieldViewHelper.php#L152 on line 152.

As far as i can see this check is useless as the Tx_Extbase_Reflection_ObjectAccess::getPropertyPath($formObject, $propertyName); can handle arrays too. So i would be very happy, if you could remove it :)
"
9956,TYPO3.Fluid,Feature,"",Rejected,Could have,Allow updating of view-variables,Robert Vock,"",2011-05-06 04:00,ViewHelpers,"",2010-09-28,"","",0,2010-09-28 03:16,"","",2594500,"","","","It would be nice, if it is possible to update variables within views.

Working with the AliasViewHelper, I got an error ""Duplicate variable declarations"", because I was using the same name.

But when I want to output a tree and render a section recursively, it would be nice to update variables.

For example code like this could work:
<pre>
<f:section name=""tree"">
  <ul>
    <f:for each=""{entries}"" as=""entry"">
    <li>
      {entry.name}
      <f:if condition=""{entry.hasChildren}"">
        <f:then>
          <f:alias map=""{entries: entry.getChildren}"">
            <f:render section=""tree"" />
          </f:alias>
        </f:then>
      </f:if>
    </li>
    </f:for>
  </ul>
</f:section>
</pre>"
10251,TYPO3.Fluid,Bug,"",Resolved,Should have,Image ViewHelper does not call parent::__construct,Michael Knoll,Bastian Waidelich,2010-10-20 05:44,ViewHelpers,"",2010-10-14,"","",100,2010-10-14 06:29,"","",2594400,"","","","Image Viewhelper does not call parent::__construct() and hence no additionalAttributes can be assigned to viewhelper.

Version is 1.3.0alpha2"
10401,TYPO3.Fluid,Bug,"",Resolved,Should have,f:link.external viewHelper should prepend http:// when needed,Christine Gerpheide,Bastian Waidelich,2011-08-04 02:12,ViewHelpers,1.0 beta 1,2010-10-22,"","",100,2010-10-22 12:09,"","",2594350,"",No,"","The link.external viewhelper should add http:// if there is no other protocol present in the URI provided.

Currently, if you add a link like:
<f:link.external uri=""www.google.com"">...</f:link.external>

It will render as:
<a href=""http://mytypo3site.com/www.google.com"">...</a>

Which is obviously not correct as this is an external link.  For such links, http:// should be prepended to the URL when using this viewHelper."
10472,TYPO3.Fluid,Feature,"",New,Could have,Fluid Standalone distribution,Bastian Waidelich,"",2012-10-16 09:17,Core,"",2010-10-26,"","",0,2010-10-26 10:14,"","",2594300,"",No,"","Create a script that extracts a Fluid version from the current trunk that is usable without TYPO3.
This means, that all dependencies to TYPO3 or Extbase functions have to be worked-around or moved to the distribution."
10821,TYPO3.Fluid,Feature,"",Resolved,Should have,add possibility to output FlashMessageQueue,Tolleiv Nietsch,Bastian Waidelich,2010-11-30 11:13,ViewHelpers,"",2010-11-15,"","",0,2010-11-15 16:55,"","",2594200,"","","","It seems that there's no way to output the FlashMessageQueue in a extbase driven be-module.

The attached patch adds a simple ViewHelper which outputs the queue.

It would be good if this could be included into 4.5 beta1 because I'd like to make use of it within the new workspace module.
"
10882,TYPO3.Fluid,Bug,"",Closed,Should have,PaginateViewHelper got wrong example,Georg Ringer,Bastian Waidelich,2010-11-18 07:00,ViewHelpers,"",2010-11-17,"","",70,2010-11-17 01:37,"","",2594150,"","","","The example of the PaginateViewHelper is outdated. 
Would be nice to have a working example"
10902,TYPO3.Fluid,Bug,"",Resolved,Must have,Paginate widget produces exception with too high offset,Georg Ringer,Bastian Waidelich,2010-11-18 08:11,ViewHelpers,"",2010-11-17,"","",100,2010-11-17 09:02,"","",2594100,"","","","If the offset is too high, an exception is thrown. This neeeds to be avoided as this can happen if there are old links (from search engines, shared links, ...).

example: 
itemsPerPage:3 and 7 records and [__widget_0][currentPage]=4

solution would be to show either the results as if no offset is set or the last pages, including a redirect or at least the correct headers

"
10908,TYPO3.Fluid,Bug,"",Resolved,Should have,Fix and cleanup inline documentation of ViewHelpers,Georg Ringer,Bastian Waidelich,2010-12-30 12:19,ViewHelpers,"",2010-11-17,"","",100,2010-11-17 11:47,"","",2594050,"","","","some more cleanups to viewhelpers where the examples in the comments doesn't fit the actual code.

as using fluid should be as easy as possible, copy&past must work out of the box"
10911,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,New,Should have,Tx_Fluid_ViewHelpers_Form_AbstractFormViewHelper->renderHiddenIdentityField should be more reliable,Patrick Schriner,"",2011-09-30 06:29,ViewHelpers,"",2010-11-17,"","",0,2010-11-17 13:25,"","",62950,"",No,"","(Poor title)

<pre><code class=""php"">
$name = $this->prefixFieldName($name) . '[__identity]';
</code></pre>

The problem with this line is that if this lookup resorts to an empty string, fluid will fail during a security check:

<pre><code class=""php"">
#1255072832: The form field name ""[__identity]"" is invalid. Reason: ""[]"" used not as last argument. 

Tx_Extbase_Security_Exception_InvalidArgumentForRequestHashGeneration thrown in file W:\TYPO3Winstaller\htdocs\Dummy\typo3\sysext\extbase\Classes\Security\Channel\RequestHashService.php in line 94.
</code></pre>

I'm pretty sure that a mistake of mine led to renderHiddenIdentityField behaving this way, yet I don't see the point in creating misleading & invalid output."
10975,TYPO3.Fluid,Bug,"",Resolved,Should have,Deprecation message about lowercase template files names suggest lowercase file name,Oliver Klee,Bastian Waidelich,2011-01-11 15:58,View,"",2010-11-19,"","",0,2010-11-19 11:46,"","",2594000,"","","","This is what the error messages looks like in Fluid 1.3.0a3:


09-11-10 12:57: the template filename ""<extension-path>/Resources/Private/Templates/CareerGadget/build.html"" is lowercase. This is deprecated since TYPO3 4.4. Please rename the template to ""build.html""

The attached patch changes two things in both places that are relevant:

# make the suggested new name upper-first
# change the wording to make it clear this is about two variants of camelCase, not about all-lowercase."
11007,TYPO3.Fluid,Bug,"",Closed,Must have,PaginateController uses wrong offset,Georg Ringer,"",2011-05-06 04:35,Widgets,"",2010-11-22,"","",80,2010-11-22 07:32,"","",2593950,"","","","The PaginateController doesn't work with an offset set in the original query.

Example:
7 news records should be displayed with an offset of 2 (explanation could be that the 1st 2 records are rendered with a different plugin). itemsPerPage = 3

1st page should show:
item 4
item 5
item 6
2nd page should show
item 7
-------------------------

currently output is:
1st page:
item 4
item 5
item 6
2nd page:
item 4
item 5
item 6
3rd page:
item 7

------------------------

the possible offset of the query is not checked."
